condition,i,j,cosine
dense,0,21,-0.007334408350288868
dense,0,22,0.5651167035102844
dense,0,23,0.3205108940601349
dense,0,24,0.35570889711380005
dense,0,25,0.2730497121810913
dense,0,26,0.4350659251213074
dense,0,27,0.5984233617782593
dense,0,28,0.5149796009063721
dense,0,29,0.5761033296585083
dense,1,2,0.28952646255493164
dense,1,3,0.27477163076400757
dense,1,4,0.4900481104850769
dense,1,5,-0.007967027835547924
dense,1,6,-0.007967027835547924
dense,1,7,0.308060884475708
dense,1,8,-0.007967027835547924
dense,1,9,-0.007967027835547924
dense,1,10,0.42875686287879944
dense,1,11,0.2107570767402649
dense,1,12,0.5421981811523438
dense,1,13,0.41225504875183105
dense,1,14,0.32297688722610474
dense,1,15,-0.007967027835547924
dense,1,16,0.32597780227661133
dense,1,17,0.2462073415517807
dense,1,18,0.21344119310379028
dense,1,19,0.11985679715871811
dense,1,20,-0.007967134937644005
dense,1,21,-0.007967027835547924
dense,1,22,0.36057841777801514
dense,1,23,0.1746135950088501
dense,1,24,0.15899646282196045
dense,1,25,0.2046789526939392
dense,1,26,0.24264629185199738
dense,1,27,0.24971559643745422
dense,1,28,0.2615621089935303
dense,1,29,0.32866302132606506
dense,2,3,0.5966465473175049
dense,2,4,0.2386525720357895
dense,2,5,0.03127926588058472
dense,2,6,0.03127926588058472
dense,2,7,0.628160834312439
dense,2,8,0.03127926588058472
dense,2,9,0.03127926588058472
dense,2,10,0.4007076025009155
dense,2,11,0.4808598756790161
dense,2,12,0.35756123065948486
dense,2,13,0.36791837215423584
dense,2,14,0.5177804231643677
dense,2,15,0.03127926588058472
dense,2,16,0.46475839614868164
dense,2,17,0.5300509929656982
dense,2,18,0.43030309677124023
dense,2,19,0.5060743093490601
dense,2,20,0.03127933293581009
dense,2,21,0.03127926588058472
dense,2,22,0.5259386897087097
dense,2,23,0.48305416107177734
dense,2,24,0.5715627670288086
dense,2,25,0.4975288510322571
dense,2,26,0.6030999422073364
dense,2,27,0.38304904103279114
dense,2,28,0.36451953649520874
dense,2,29,0.5060756802558899
dense,3,4,0.32607904076576233
dense,3,5,0.16001838445663452
dense,3,6,0.16001838445663452
dense,3,7,0.792024552822113
dense,3,8,0.16001838445663452
dense,3,9,0.16001838445663452
dense,3,10,0.4491059482097626
dense,3,11,0.6588991284370422
dense,3,12,0.49549704790115356
dense,3,13,0.4993894100189209
dense,3,14,0.5448480248451233
dense,3,15,0.16001838445663452
dense,3,16,0.49036380648612976
dense,3,17,0.7014753818511963
dense,3,18,0.5403354167938232
dense,3,19,0.536931574344635
dense,3,20,0.1600184589624405
dense,3,21,0.16001838445663452
dense,3,22,0.5707241892814636
dense,3,23,0.6124157309532166
dense,3,24,0.5441623330116272
dense,3,25,0.4684627950191498
dense,3,26,0.6465510129928589
dense,3,27,0.4310711920261383
dense,3,28,0.34861892461776733
dense,3,29,0.6480132341384888
dense,4,5,0.10301049798727036
dense,4,6,0.10301049798727036
dense,4,7,0.35683324933052063
dense,4,8,0.10301049798727036
dense,4,9,0.10301049798727036
dense,4,10,0.30900585651397705
dense,4,11,0.37191033363342285
dense,4,12,0.5150752067565918
dense,4,13,0.4528835415840149
dense,4,14,0.30659976601600647
dense,4,15,0.10301049798727036
dense,4,16,0.32528188824653625
dense,4,17,0.3067680597305298
dense,4,18,0.3321308195590973
dense,4,19,0.1190565824508667
dense,4,20,0.10301055759191513
dense,4,21,0.10301049798727036
dense,4,22,0.4167402386665344
dense,4,23,0.2738344073295593
dense,4,24,0.18105944991111755
dense,4,25,0.14965084195137024
dense,4,26,0.22600385546684265
dense,4,27,0.28796035051345825
dense,4,28,0.19629132747650146
dense,4,29,0.4747578203678131
dense,5,6,1.0
dense,5,7,0.13524004817008972
dense,5,8,1.0
dense,5,9,1.0
dense,5,10,-0.006033692974597216
dense,5,11,0.07680444419384003
dense,5,12,0.11405131965875626
dense,5,13,0.10946982353925705
dense,5,14,0.06557199358940125
dense,5,15,1.0
dense,5,16,0.10154129564762115
dense,5,17,0.11329963058233261
dense,5,18,0.06896881759166718
dense,5,19,0.045410215854644775
dense,5,20,1.0000001192092896
dense,5,21,1.0
dense,5,22,0.03675480931997299
dense,5,23,0.1264604777097702
dense,5,24,0.07031764835119247
dense,5,25,0.07849688082933426
dense,5,26,0.0042229159735143185
dense,5,27,0.010156836360692978
dense,5,28,0.008655861020088196
dense,5,29,0.11031939089298248
dense,6,7,0.13524004817008972
dense,6,8,1.0
dense,6,9,1.0
dense,6,10,-0.006033692974597216
dense,6,11,0.07680444419384003
dense,6,12,0.11405131965875626
dense,6,13,0.10946982353925705
dense,6,14,0.06557199358940125
dense,6,15,1.0
dense,6,16,0.10154129564762115
dense,6,17,0.11329963058233261
dense,6,18,0.06896881759166718
dense,6,19,0.045410215854644775
dense,6,20,1.0000001192092896
dense,6,21,1.0
dense,6,22,0.03675480931997299
dense,6,23,0.1264604777097702
dense,6,24,0.07031764835119247
dense,6,25,0.07849688082933426
dense,6,26,0.0042229159735143185
dense,6,27,0.010156836360692978
dense,6,28,0.008655861020088196
dense,6,29,0.11031939089298248
dense,7,8,0.13524004817008972
dense,7,9,0.13524004817008972
dense,7,10,0.4091848134994507
dense,7,11,0.6664383411407471
dense,7,12,0.4781343340873718
dense,7,13,0.5130871534347534
dense,7,14,0.5498494505882263
dense,7,15,0.13524004817008972
dense,7,16,0.576724648475647
dense,7,17,0.7978910207748413
dense,7,18,0.5530123710632324
dense,7,19,0.4492810368537903
dense,7,20,0.1352401077747345
dense,7,21,0.13524004817008972
dense,7,22,0.5997567772865295
dense,7,23,0.5919930338859558
dense,7,24,0.4685876667499542
dense,7,25,0.39794421195983887
dense,7,26,0.680601954460144
dense,7,27,0.4747508764266968
dense,7,28,0.39823591709136963
dense,7,29,0.7144495248794556
dense,8,9,1.0
dense,8,10,-0.006033692974597216
dense,8,11,0.07680444419384003
dense,8,12,0.11405131965875626
dense,8,13,0.10946982353925705
dense,8,14,0.06557199358940125
dense,8,15,1.0
dense,8,16,0.10154129564762115
dense,8,17,0.11329963058233261
dense,8,18,0.06896881759166718
dense,8,19,0.045410215854644775
dense,8,20,1.0000001192092896
dense,8,21,1.0
dense,8,22,0.03675480931997299
dense,8,23,0.1264604777097702
dense,8,24,0.07031764835119247
dense,8,25,0.07849688082933426
dense,8,26,0.0042229159735143185
dense,8,27,0.010156836360692978
dense,8,28,0.008655861020088196
dense,8,29,0.11031939089298248
dense,9,10,-0.006033692974597216
dense,9,11,0.07680444419384003
dense,9,12,0.11405131965875626
dense,9,13,0.10946982353925705
dense,9,14,0.06557199358940125
dense,9,15,1.0
dense,9,16,0.10154129564762115
dense,9,17,0.11329963058233261
dense,9,18,0.06896881759166718
dense,9,19,0.045410215854644775
dense,9,20,1.0000001192092896
dense,9,21,1.0
dense,9,22,0.03675480931997299
dense,9,23,0.1264604777097702
dense,9,24,0.07031764835119247
dense,9,25,0.07849688082933426
dense,9,26,0.0042229159735143185
dense,9,27,0.010156836360692978
dense,9,28,0.008655861020088196
