condition,i,j,cosine
dense,9,29,0.11031939089298248
dense,10,11,0.31417733430862427
dense,10,12,0.44643890857696533
dense,10,13,0.43229949474334717
dense,10,14,0.46415048837661743
dense,10,15,-0.006033692974597216
dense,10,16,0.2764474153518677
dense,10,17,0.39176902174949646
dense,10,18,0.34215718507766724
dense,10,19,0.22365114092826843
dense,10,20,-0.006033679470419884
dense,10,21,-0.006033692974597216
dense,10,22,0.45438987016677856
dense,10,23,0.22567588090896606
dense,10,24,0.36456334590911865
dense,10,25,0.21755686402320862
dense,10,26,0.3494654893875122
dense,10,27,0.5572032928466797
dense,10,28,0.44149792194366455
dense,10,29,0.46986833214759827
dense,11,12,0.36742523312568665
dense,11,13,0.3937452435493469
dense,11,14,0.4756142199039459
dense,11,15,0.07680444419384003
dense,11,16,0.4735077917575836
dense,11,17,0.6267006397247314
dense,11,18,0.5310143232345581
dense,11,19,0.41368934512138367
dense,11,20,0.07680459320545197
dense,11,21,0.07680444419384003
dense,11,22,0.47956109046936035
dense,11,23,0.5592876076698303
dense,11,24,0.3604394793510437
dense,11,25,0.45233845710754395
dense,11,26,0.5941547751426697
dense,11,27,0.2988702654838562
dense,11,28,0.3328130543231964
dense,11,29,0.5524469017982483
dense,12,13,0.45257341861724854
dense,12,14,0.4154464602470398
dense,12,15,0.11405131965875626
dense,12,16,0.4771968424320221
dense,12,17,0.3708333373069763
dense,12,18,0.35866913199424744
dense,12,19,0.21246016025543213
dense,12,20,0.11405126750469208
dense,12,21,0.11405131965875626
dense,12,22,0.5572452545166016
dense,12,23,0.2862359583377838
dense,12,24,0.31720972061157227
dense,12,25,0.28997108340263367
dense,12,26,0.2946575880050659
dense,12,27,0.36073172092437744
dense,12,28,0.22632603347301483
dense,12,29,0.561667799949646
dense,13,14,0.38953232765197754
dense,13,15,0.10946982353925705
dense,13,16,0.45671993494033813
dense,13,17,0.42261528968811035
dense,13,18,0.3919949531555176
dense,13,19,0.2727848291397095
dense,13,20,0.10946983844041824
dense,13,21,0.10946982353925705
dense,13,22,0.4995693862438202
dense,13,23,0.3707767724990845
dense,13,24,0.32790687680244446
dense,13,25,0.31766489148139954
dense,13,26,0.39856433868408203
dense,13,27,0.3458443284034729
dense,13,28,0.28712815046310425
dense,13,29,0.47865211963653564
dense,14,15,0.06557199358940125
dense,14,16,0.33047914505004883
dense,14,17,0.5018177032470703
dense,14,18,0.4800482392311096
dense,14,19,0.30252760648727417
dense,14,20,0.06557203829288483
dense,14,21,0.06557199358940125
dense,14,22,0.5680745840072632
dense,14,23,0.3685320019721985
dense,14,24,0.35438480973243713
dense,14,25,0.3354896903038025
dense,14,26,0.4846718907356262
dense,14,27,0.36690807342529297
dense,14,28,0.41395309567451477
dense,14,29,0.5009810924530029
dense,15,16,0.10154129564762115
dense,15,17,0.11329963058233261
dense,15,18,0.06896881759166718
dense,15,19,0.045410215854644775
dense,15,20,1.0000001192092896
dense,15,21,1.0
dense,15,22,0.03675480931997299
dense,15,23,0.1264604777097702
dense,15,24,0.07031764835119247
dense,15,25,0.07849688082933426
dense,15,26,0.0042229159735143185
dense,15,27,0.010156836360692978
dense,15,28,0.008655861020088196
dense,15,29,0.11031939089298248
dense,16,17,0.40884068608283997
dense,16,18,0.3533593416213989
dense,16,19,0.33812063932418823
dense,16,20,0.10154132544994354
dense,16,21,0.10154129564762115
dense,16,22,0.6298626661300659
dense,16,23,0.4045204520225525
dense,16,24,0.30273962020874023
dense,16,25,0.28602421283721924
dense,16,26,0.42039185762405396
dense,16,27,0.3656078577041626
dense,16,28,0.24812044203281403
dense,16,29,0.5669870972633362
dense,17,18,0.5916897058486938
dense,17,19,0.36419254541397095
dense,17,20,0.11329975724220276
dense,17,21,0.11329963058233261
dense,17,22,0.41559386253356934
dense,17,23,0.5092486143112183
dense,17,24,0.4388303756713867
dense,17,25,0.34807467460632324
dense,17,26,0.6798630952835083
dense,17,27,0.40526777505874634
dense,17,28,0.36973169445991516
dense,17,29,0.6200428605079651
dense,18,19,0.2596978545188904
dense,18,20,0.06896898150444031
dense,18,21,0.06896881759166718
dense,18,22,0.4005788564682007
dense,18,23,0.42990243434906006
dense,18,24,0.4042982757091522
dense,18,25,0.33325448632240295
dense,18,26,0.5198382139205933
dense,18,27,0.2700243592262268
dense,18,28,0.21487663686275482
dense,18,29,0.49256962537765503
dense,19,20,0.04541028290987015
dense,19,21,0.045410215854644775
dense,19,22,0.3137342929840088
dense,19,23,0.6585714817047119
dense,19,24,0.47322750091552734
dense,19,25,0.5150237679481506
dense,19,26,0.389847069978714
dense,19,27,0.19629625976085663
dense,19,28,0.10944071412086487
dense,19,29,0.28927475214004517
dense,20,21,1.0000001192092896
dense,20,22,0.036754876375198364
dense,20,23,0.1264604926109314
dense,20,24,0.07031777501106262
dense,20,25,0.07849699258804321
dense,20,26,0.0042230794206261635
dense,20,27,0.01015688106417656
dense,20,28,0.008655865676701069
dense,20,29,0.11031946539878845
dense,21,22,0.03675480931997299
dense,21,23,0.1264604777097702
dense,21,24,0.07031764835119247
dense,21,25,0.07849688082933426
dense,21,26,0.0042229159735143185
dense,21,27,0.010156836360692978
dense,21,28,0.008655861020088196
dense,21,29,0.11031939089298248
dense,22,23,0.3829442858695984
dense,22,24,0.34923914074897766
dense,22,25,0.27160781621932983
dense,22,26,0.4511153995990753
dense,22,27,0.5446730852127075
dense,22,28,0.31327903270721436
dense,22,29,0.6425545811653137
